::1 - - [09/Apr/2024:16:20:05 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [11/Apr/2024:03:31:06 +0000] "GET /api/v1/myprofile HTTP/1.1" 200 97 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:31:13 +0000] "GET /api/v1/myprofile HTTP/1.1" 200 97 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:31:18 +0000] "GET /api/v1/myprofile HTTP/1.1" 200 97 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:31:19 +0000] "GET /api/v1/myprofile HTTP/1.1" 200 97 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:31:20 +0000] "GET /api/v1/myprofile HTTP/1.1" 200 97 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:31:22 +0000] "GET /api/v1/myprofile HTTP/1.1" 401 26 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:31:25 +0000] "GET /api/v1/myprofile HTTP/1.1" 401 26 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:34:06 +0000] "POST /api/v1/login HTTP/1.1" 200 286 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:34:25 +0000] "POST /api/v1/register HTTP/1.1" 201 99 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:34:29 +0000] "POST /api/v1/login HTTP/1.1" 200 286 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:37:05 +0000] "POST /api/v1/login HTTP/1.1" 200 286 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:38:23 +0000] "POST /api/v1/login HTTP/1.1" 200 287 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:38:41 +0000] "GET /api/v1/myprofile HTTP/1.1" 200 101 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:43:50 +0000] "POST /api/v1/login HTTP/1.1" 400 1224 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:44:29 +0000] "POST /api/v1/superlogin HTTP/1.1" 200 287 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:45:38 +0000] "POST /api/v1/superlogin HTTP/1.1" 404 63 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:45:47 +0000] "POST /api/v1/superlogin HTTP/1.1" 200 286 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:46:24 +0000] "POST /api/v1/login HTTP/1.1" 200 287 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:49:04 +0000] "POST /api/v1/login HTTP/1.1" 200 288 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:49:13 +0000] "GET /api/v1/myprofile HTTP/1.1" 200 99 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:52:04 +0000] "POST /api/v1/register/admin HTTP/1.1" 404 161 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:52:50 +0000] "POST /api/v1/register/admin HTTP/1.1" 404 161 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:53:03 +0000] "POST /api/v1/login HTTP/1.1" 200 287 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:53:13 +0000] "POST /api/v1/register/admin HTTP/1.1" 404 161 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:54:20 +0000] "POST /api/v1/admin HTTP/1.1" 404 152 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:54:42 +0000] "POST /api/v1/register/admin HTTP/1.1" 201 93 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:54:58 +0000] "POST /api/v1/login HTTP/1.1" 200 288 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:55:06 +0000] "GET /api/v1/myprofile HTTP/1.1" 200 99 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:55:13 +0000] "POST /api/v1/register/admin HTTP/1.1" 403 26 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:55:17 +0000] "POST /api/v1/register/admin HTTP/1.1" 409 51 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:57:19 +0000] "POST /api/v1/login HTTP/1.1" 200 281 "-" "PostmanRuntime/7.37.3"
::1 - - [11/Apr/2024:03:57:45 +0000] "GET /api/v1/users HTTP/1.1" 200 353 "-" "PostmanRuntime/7.37.3"
